PeriodeAttente,Region,Delais_d'attente,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico-faciale,Urologie,Autres,Total
2223-P06,RSS04,0 à 6 mois,1032,1177,91,72,99,420,936,717,521,291,5356
2223-P06,RSS04,6 à 12 mois,243,468,57,10,22,61,166,89,125,84,1325
2223-P06,RSS04,Plus d'1 an,77,85,51,16,12,11,31,55,102,49,489
2223-P06,RSS05,0 à 6 mois,1135,1469,391,52,176,590,2193,810,379,339,7534
2223-P06,RSS05,6 à 12 mois,424,841,264,6,114,296,761,348,178,83,3315
2223-P06,RSS05,Plus d'1 an,397,289,136,4,122,332,128,185,115,67,1775
2223-P06,RSS06,0 à 6 mois,7111,5562,2135,296,559,2406,8511,3423,2236,1373,33612
2223-P06,RSS06,6 à 12 mois,2262,2765,1142,113,154,598,2199,1221,631,446,11531
2223-P06,RSS06,Plus d'1 an,1011,1790,1074,30,102,247,951,807,347,133,6492
2223-P06,RSS07,0 à 6 mois,602,787,156,21,48,219,1310,322,187,234,3886
2223-P06,RSS07,6 à 12 mois,355,374,51,2,22,69,230,296,113,11,1523
2223-P06,RSS07,Plus d'1 an,479,417,80,2,111,312,268,512,115,71,2367
2223-P06,RSS08,0 à 6 mois,406,317,13,0,0,187,372,47,142,38,1522
2223-P06,RSS08,6 à 12 mois,76,94,0,0,0,22,214,2,79,2,489
2223-P06,RSS08,Plus d'1 an,20,10,0,0,0,0,43,1,10,0,84
2223-P06,RSS09,0 à 6 mois,176,239,38,0,0,45,178,187,24,65,952
2223-P06,RSS09,6 à 12 mois,25,19,14,0,0,9,0,3,2,12,84
2223-P06,RSS09,Plus d'1 an,0,0,37,0,0,0,0,0,0,0,37
2223-P06,RSS10,0 à 6 mois,56,0,0,0,0,23,0,0,0,0,79
2223-P06,RSS10,6 à 12 mois,0,0,0,0,0,9,0,0,0,0,9
2223-P06,RSS11,0 à 6 mois,183,222,5,0,0,48,361,145,32,77,1073
2223-P06,RSS11,6 à 12 mois,17,27,1,0,0,5,0,23,6,41,120
2223-P06,RSS11,Plus d'1 an,10,2,0,0,0,1,1,1,0,16,31
2223-P06,RSS12,0 à 6 mois,739,1218,184,0,0,379,699,569,338,388,4514
2223-P06,RSS12,6 à 12 mois,141,478,80,0,0,32,209,144,92,94,1270
2223-P06,RSS12,Plus d'1 an,125,60,76,0,0,21,69,134,78,60,623
2223-P06,RSS13,0 à 6 mois,464,498,90,78,0,199,829,569,255,8,2990
2223-P06,RSS13,6 à 12 mois,89,141,22,9,0,88,27,140,26,4,546
2223-P06,RSS13,Plus d'1 an,24,37,3,2,0,18,2,9,0,3,98
2223-P06,RSS14,0 à 6 mois,937,831,211,50,0,256,1549,527,336,89,4786
2223-P06,RSS14,6 à 12 mois,525,607,202,29,0,45,570,250,194,45,2467
2223-P06,RSS14,Plus d'1 an,446,355,216,86,0,22,364,549,245,18,2301
2223-P06,RSS15,0 à 6 mois,1822,1709,100,91,0,348,1113,274,355,30,5842
2223-P06,RSS15,6 à 12 mois,550,1056,73,33,0,32,151,102,74,7,2078
2223-P06,RSS15,Plus d'1 an,365,963,190,12,0,9,2,144,124,7,1816
2223-P06,RSS16,0 à 6 mois,2420,3205,363,61,68,945,3845,1452,850,226,13435
2223-P06,RSS16,6 à 12 mois,850,1585,243,20,27,360,1197,457,211,157,5107
2223-P06,RSS16,Plus d'1 an,579,1856,196,7,55,137,416,340,89,90,3765
2223-P07,RSS01,0 à 6 mois,497,730,0,0,0,114,666,19,170,153,2349
2223-P07,RSS01,6 à 12 mois,148,326,0,0,0,15,174,1,39,50,753
2223-P07,RSS01,Plus d'1 an,27,34,0,0,0,1,4,0,7,15,88
2223-P07,RSS02,0 à 6 mois,888,842,188,44,119,276,1267,356,404,172,4556
2223-P07,RSS02,6 à 12 mois,263,410,117,34,63,63,125,88,166,45,1374
2223-P07,RSS02,Plus d'1 an,255,152,192,14,45,98,49,81,129,94,1109
2223-P07,RSS03,0 à 6 mois,2193,1807,236,100,226,761,2293,1897,853,526,10892
2223-P07,RSS03,6 à 12 mois,573,1290,116,16,64,213,399,444,268,179,3562
2223-P07,RSS03,Plus d'1 an,73,397,277,3,21,10,33,107,19,68,1008
2223-P07,RSS04,0 à 6 mois,1102,1177,94,79,100,444,1025,778,538,304,5641
2223-P07,RSS04,6 à 12 mois,271,467,65,10,16,54,167,102,131,79,1362
2223-P07,RSS04,Plus d'1 an,55,67,47,14,8,9,19,44,83,22,368
2223-P07,RSS05,0 à 6 mois,1114,1502,366,50,158,553,2124,777,412,326,7382
2223-P07,RSS05,6 à 12 mois,401,831,256,8,101,307,780,408,164,72,3328
2223-P07,RSS05,Plus d'1 an,411,314,145,4,110,329,127,204,140,73,1857
2223-P07,RSS06,0 à 6 mois,7058,5545,2053,259,554,2352,8296,3493,2249,1335,33194
2223-P07,RSS06,6 à 12 mois,2378,2633,1149,116,176,569,2090,1159,638,444,11352
2223-P07,RSS06,Plus d'1 an,1033,1942,1102,30,100,268,900,808,355,116,6654
2223-P07,RSS07,0 à 6 mois,616,868,180,18,53,243,1257,325,224,201,3985
2223-P07,RSS07,6 à 12 mois,323,371,67,0,25,78,262,266,127,12,1531
2223-P07,RSS07,Plus d'1 an,473,388,77,0,88,296,181,547,98,67,2215
2223-P07,RSS08,0 à 6 mois,370,358,9,0,0,166,356,59,118,37,1473
2223-P07,RSS08,6 à 12 mois,59,75,1,0,0,20,153,1,62,2,373
2223-P07,RSS08,Plus d'1 an,9,8,0,0,0,0,40,0,9,1,67
2223-P07,RSS09,0 à 6 mois,165,255,30,0,0,56,160,218,27,68,979
